ticker,strategy,status,entry_date,entry_price,exit_date,exit_price,pct_since_entry,r_peak,days_held,highest_close,notes
AAPL,BASE,OPEN,2026-04-27,267.61,,,15.4,7.24,25,308.82,Entered on buy zone trigger
AMD,BASE,OPEN,2026-05-18,420.99,,,11.05,1.66,4,467.51,Entered on buy zone trigger
AMZN,BASE,OPEN,2026-05-20,265.01,,,0.49,0.52,2,268.46,Entered on buy zone trigger
AVGO,BASE,OPEN,2026-05-20,417.76,,,-0.87,0.0,2,417.76,Entered on buy zone trigger
GOOGL,BASE,OPEN,2026-05-19,387.66,,,-1.21,0.11,3,388.91,Entered on buy zone trigger
NVDA,BASE,OPEN,2026-05-21,219.51,,,-1.9,0.0,1,219.51,Entered on buy zone trigger
TSLA,BASE,OPEN,2026-05-20,417.26,,,2.1,0.48,2,426.01,Entered on buy zone trigger
